,rain,tmax,tmin
1972-03-12 12:00:00,87.9,11.1,9.7
1972-03-13 12:00:00,17.9,9.1,7.0
1972-03-14 12:00:00,73.9,11.8,5.9
1972-03-15 12:00:00,39.8,12.2,7.0
1972-03-16 12:00:00,77.5,11.8,7.7
1972-03-17 12:00:00,9.8,8.0,4.6
1972-03-18 12:00:00,1.8,10.9,3.6
1972-03-19 12:00:00,14.4,12.8,6.4
1972-03-20 12:00:00,2.9,15.3,10.8
1972-03-21 12:00:00,52.6,13.7,15.7
1972-03-22 12:00:00,29.1,16.0,10.9
1972-03-23 12:00:00,113.4,14.6,12.9
1972-03-24 12:00:00,5.6,14.6,9.7
1972-03-25 12:00:00,7.3,13.1,8.9
1972-03-26 12:00:00,0.0,17.4,9.8
1972-03-27 12:00:00,0.0,16.1,10.9
1972-03-28 12:00:00,10.5,17.6,11.1
1972-03-29 12:00:00,67.2,14.4,11.6
1972-03-30 12:00:00,4.5,15.9,12.7
1972-03-31 12:00:00,8.9,14.5,10.7
1972-04-01 12:00:00,7.0,12.4,9.8
1972-04-02 12:00:00,0.0,14.6,8.1
1972-04-03 12:00:00,2.2,14.5,7.9
1972-04-04 12:00:00,0.0,15.5,9.7
1972-04-05 12:00:00,18.0,12.4,11.6
1972-04-06 12:00:00,0.0,12.5,9.2
1972-04-07 12:00:00,0.0,14.6,7.8
1972-04-08 12:00:00,0.0,15.2,7.5
1972-04-09 12:00:00,0.0,13.3,8.0
1972-04-10 12:00:00,0.0,15.3,8.5
1972-04-11 12:00:00,0.0,14.8,7.8
1972-04-12 12:00:00,0.0,17.8,10.6
1972-04-13 12:00:00,0.0,16.3,9.0
1972-04-14 12:00:00,0.0,14.7,7.3
1972-04-15 12:00:00,0.0,13.1,8.5
1972-04-16 12:00:00,23.4,10.6,9.5
1972-04-17 12:00:00,6.6,8.9,6.2
1972-04-18 12:00:00,25.0,9.8,2.8
1972-04-19 12:00:00,3.2,7.1,2.4
1972-04-20 12:00:00,63.7,10.1,2.3
1972-04-21 12:00:00,45.7,12.5,5.5
1972-04-22 12:00:00,29.9,11.8,8.3
1972-04-23 12:00:00,53.4,11.6,10.3
1972-04-24 12:00:00,41.5,10.3,9.3
1972-04-25 12:00:00,13.3,9.8,6.6
1972-04-26 12:00:00,10.2,10.3,1.8
1972-04-27 12:00:00,73.5,10.1,3.2
1972-04-28 12:00:00,2.7,8.9,3.4
1972-04-29 12:00:00,30.9,11.0,9.8
1972-04-30 12:00:00,39.3,10.7,7.1
1972-05-01 12:00:00,0.0,9.3,5.1
1972-05-02 12:00:00,13.5,9.0,5.3
1972-05-03 12:00:00,23.4,10.6,7.4
1972-05-04 12:00:00,0.0,7.3,2.4
1972-05-05 12:00:00,2.2,11.1,4.8
1972-05-06 12:00:00,1.9,11.3,5.7
1972-05-07 12:00:00,0.0,10.4,2.7
1972-05-08 12:00:00,0.0,9.6,1.6
1972-05-09 12:00:00,0.0,8.6,2.7
1972-05-10 12:00:00,1.9,11.2,2.6
1972-05-11 12:00:00,50.8,10.8,2.8
1972-05-12 12:00:00,75.1,10.4,8.7
1972-05-13 12:00:00,12.3,8.2,8.1
1972-05-14 12:00:00,0.0,6.9,3.9
1972-05-15 12:00:00,6.0,6.1,1.4
1972-05-16 12:00:00,0.0,7.0,0.2
1972-05-17 12:00:00,0.0,7.8,3.6
1972-05-18 12:00:00,0.0,9.1,4.4
1972-05-19 12:00:00,2.9,8.2,3.7
1972-05-20 12:00:00,11.9,8.6,4.4
1972-05-21 12:00:00,4.4,8.4,2.1
1972-05-22 12:00:00,45.1,9.2,2.6
1972-05-23 12:00:00,44.7,8.5,6.3
1972-05-24 12:00:00,24.2,5.8,1.6
1972-05-25 12:00:00,0.0,5.7,0.6
1972-05-26 12:00:00,40.3,6.3,0.4
1972-05-27 12:00:00,0.0,9.5,3.0
1972-05-28 12:00:00,0.0,10.5,0.8
1972-05-29 12:00:00,5.7,7.9,-1.0
1972-05-30 12:00:00,28.3,6.5,-1.3
1972-05-31 12:00:00,5.3,6.6,-1.2
1972-06-01 12:00:00,41.8,9.0,0.4
1972-06-02 12:00:00,1.3,9.5,4.6
1972-06-03 12:00:00,0.0,4.5,-0.7
1972-06-04 12:00:00,1.7,8.7,0.1
1972-06-05 12:00:00,0.0,10.4,3.5
1972-06-06 12:00:00,0.0,4.9,0.5
1972-06-07 12:00:00,7.6,6.1,0.2
1972-06-08 12:00:00,0.0,7.1,0.6
1972-06-09 12:00:00,0.0,7.0,0.5
1972-06-10 12:00:00,3.6,6.9,-0.3
1972-06-11 12:00:00,35.3,6.7,0.7
1972-06-12 12:00:00,0.0,6.5,3.4
1972-06-13 12:00:00,0.0,7.5,2.3
1972-06-14 12:00:00,0.0,6.1,2.1
1972-06-15 12:00:00,0.0,7.3,1.4
1972-06-16 12:00:00,21.5,8.3,1.6
1972-06-17 12:00:00,7.1,3.8,2.7
1972-06-18 12:00:00,8.8,1.6,-2.0
1972-06-19 12:00:00,4.7,2.0,-1.0
1972-06-20 12:00:00,13.3,3.0,-1.7
1972-06-21 12:00:00,0.0,3.9,-0.4
1972-06-22 12:00:00,25.8,5.2,0.9
1972-06-23 12:00:00,2.2,3.8,0.3
1972-06-24 12:00:00,0.0,3.5,-0.4
1972-06-25 12:00:00,0.0,3.7,-1.4
1972-06-26 12:00:00,0.0,3.5,-0.7
1972-06-27 12:00:00,0.0,2.1,-1.1
1972-06-28 12:00:00,0.0,5.0,-0.7
1972-06-29 12:00:00,10.8,6.4,0.4
1972-06-30 12:00:00,37.8,5.4,1.9
1972-07-01 12:00:00,65.3,6.6,1.5
1972-07-02 12:00:00,20.1,5.0,4.2
1972-07-03 12:00:00,4.7,1.7,0.9
1972-07-04 12:00:00,0.0,3.3,-0.4
1972-07-05 12:00:00,0.0,1.9,0.3
1972-07-06 12:00:00,0.0,-0.3,-1.7
1972-07-07 12:00:00,0.0,1.5,-0.9
1972-07-08 12:00:00,0.0,3.6,0.4
1972-07-09 12:00:00,1.5,5.4,2.1
1972-07-10 12:00:00,0.0,5.9,3.3
1972-07-11 12:00:00,0.0,7.3,2.9
1972-07-12 12:00:00,0.0,5.3,2.7
1972-07-13 12:00:00,35.5,4.0,-1.8
1972-07-14 12:00:00,22.0,6.6,0.6
1972-07-15 12:00:00,8.3,3.5,-0.6
1972-07-16 12:00:00,13.3,1.5,0.2
1972-07-17 12:00:00,13.5,9.4,0.5
1972-07-18 12:00:00,13.3,6.4,0.4
1972-07-19 12:00:00,6.5,9.6,1.4
1972-07-20 12:00:00,68.9,9.8,4.0
1972-07-21 12:00:00,8.2,5.6,4.3
1972-07-22 12:00:00,45.0,8.0,3.0
1972-07-23 12:00:00,4.4,12.4,3.3
1972-07-24 12:00:00,0.0,5.6,0.7
1972-07-25 12:00:00,10.2,7.6,1.0
1972-07-26 12:00:00,13.2,8.0,6.8
1972-07-27 12:00:00,19.2,7.1,6.1
1972-07-28 12:00:00,0.0,7.5,5.2
1972-07-29 12:00:00,0.0,4.5,1.5
1972-07-30 12:00:00,0.0,3.3,-1.2
1972-07-31 12:00:00,0.0,5.1,-0.2
1972-08-01 12:00:00,0.0,5.7,-1.5
1972-08-02 12:00:00,0.0,5.8,-1.4
1972-08-03 12:00:00,0.0,6.5,-1.6
1972-08-04 12:00:00,0.0,6.4,-1.0
1972-08-05 12:00:00,0.0,4.9,1.4
1972-08-06 12:00:00,0.0,2.8,-0.1
1972-08-07 12:00:00,0.0,1.9,-1.7
1972-08-08 12:00:00,0.0,2.7,-1.6
1972-08-09 12:00:00,14.7,5.3,-2.1
1972-08-10 12:00:00,0.0,5.7,1.9
1972-08-11 12:00:00,27.4,5.7,1.7
1972-08-12 12:00:00,0.0,9.0,1.4
1972-08-13 12:00:00,0.0,6.8,0.7
1972-08-14 12:00:00,0.0,5.8,-0.7
1972-08-15 12:00:00,0.0,6.6,-0.3
1972-08-16 12:00:00,1.8,8.1,1.5
1972-08-17 12:00:00,0.0,6.8,1.5
1972-08-18 12:00:00,4.1,8.0,-1.3
1972-08-19 12:00:00,1.3,5.4,-0.5
1972-08-20 12:00:00,0.0,7.2,0.0
1972-08-21 12:00:00,0.0,7.3,-1.5
1972-08-22 12:00:00,0.0,7.2,-0.6
1972-08-23 12:00:00,2.7,5.7,-1.3
1972-08-24 12:00:00,39.6,6.4,0.9
1972-08-25 12:00:00,22.6,6.1,3.5
1972-08-26 12:00:00,0.0,8.3,3.2
1972-08-27 12:00:00,0.0,7.2,0.2
1972-08-28 12:00:00,0.0,9.1,-0.8
1972-08-29 12:00:00,0.0,8.4,1.0
1972-08-30 12:00:00,0.0,11.0,3.7
1972-08-31 12:00:00,9.8,13.1,5.2
1972-09-01 12:00:00,11.2,12.7,8.3
1972-09-02 12:00:00,2.5,9.0,2.0
1972-09-03 12:00:00,0.0,9.6,2.0
1972-09-04 12:00:00,0.0,9.4,0.5
1972-09-05 12:00:00,0.0,8.1,2.7
1972-09-06 12:00:00,0.0,13.1,7.4
1972-09-07 12:00:00,92.8,12.2,7.8
1972-09-08 12:00:00,90.0,15.5,6.6
1972-09-09 12:00:00,24.1,5.2,2.8
1972-09-10 12:00:00,16.3,5.8,2.7
1972-09-11 12:00:00,8.0,6.8,3.6
1972-09-12 12:00:00,10.4,8.2,5.9
1972-09-13 12:00:00,114.7,9.6,6.4
1972-09-14 12:00:00,112.2,10.4,3.4
1972-09-15 12:00:00,26.2,8.2,0.3
1972-09-16 12:00:00,17.7,7.9,5.1
1972-09-17 12:00:00,0.0,9.7,1.6
1972-09-18 12:00:00,45.9,10.4,2.2
1972-09-19 12:00:00,28.3,9.9,4.7
1972-09-20 12:00:00,51.1,4.8,3.6
1972-09-21 12:00:00,0.0,6.8,0.6
1972-09-22 12:00:00,33.8,6.7,4.5
1972-09-23 12:00:00,17.0,9.7,4.9
1972-09-24 12:00:00,66.5,8.8,6.5
1972-09-25 12:00:00,43.6,7.8,6.0
1972-09-26 12:00:00,4.4,9.4,5.2
1972-09-27 12:00:00,48.8,7.0,5.2
1972-09-28 12:00:00,3.8,10.4,3.6
1972-09-29 12:00:00,10.6,6.5,2.4
1972-09-30 12:00:00,0.0,7.9,1.4
1972-10-01 12:00:00,3.3,13.0,1.2
1972-10-02 12:00:00,22.7,7.4,-0.4
1972-10-03 12:00:00,2.0,10.9,5.6
1972-10-04 12:00:00,0.0,8.2,4.8
1972-10-05 12:00:00,35.8,7.4,5.7
1972-10-06 12:00:00,22.8,9.9,5.1
1972-10-07 12:00:00,0.0,13.8,7.5
1972-10-08 12:00:00,0.0,10.9,5.8
1972-10-09 12:00:00,0.0,13.5,5.5
1972-10-10 12:00:00,0.0,14.8,6.0
1972-10-11 12:00:00,31.5,13.8,4.3
1972-10-12 12:00:00,45.8,6.6,5.7
1972-10-13 12:00:00,11.0,6.4,1.7
1972-10-14 12:00:00,11.5,7.5,0.1
1972-10-15 12:00:00,23.6,5.7,4.4
1972-10-16 12:00:00,4.1,7.8,0.3
1972-10-17 12:00:00,2.5,10.0,2.3
1972-10-18 12:00:00,24.7,9.0,2.3
1972-10-19 12:00:00,0.0,12.9,3.7
1972-10-20 12:00:00,3.7,13.4,4.7
1972-10-21 12:00:00,61.6,10.2,8.0
1972-10-22 12:00:00,27.4,13.1,10.3
1972-10-23 12:00:00,7.8,11.4,9.1
1972-10-24 12:00:00,0.0,16.9,8.1
1972-10-25 12:00:00,36.3,9.4,6.3
1972-10-26 12:00:00,5.4,10.6,4.7
1972-10-27 12:00:00,2.1,8.0,2.2
1972-10-28 12:00:00,0.0,11.0,4.3
1972-10-29 12:00:00,0.0,12.0,5.8
1972-10-30 12:00:00,114.1,10.0,8.9
1972-10-31 12:00:00,14.3,10.2,7.9
1972-11-01 12:00:00,5.1,11.8,4.4
1972-11-02 12:00:00,49.6,9.7,3.7
1972-11-03 12:00:00,0.0,16.0,6.9
1972-11-04 12:00:00,23.0,16.2,5.4
1972-11-05 12:00:00,2.9,15.6,9.1
1972-11-06 12:00:00,17.2,13.0,10.6
1972-11-07 12:00:00,8.6,13.7,11.9
1972-11-08 12:00:00,9.6,14.4,9.7
1972-11-09 12:00:00,0.0,14.7,10.3
1972-11-10 12:00:00,0.0,17.8,7.6
1972-11-11 12:00:00,14.4,18.1,5.8
1972-11-12 12:00:00,133.3,15.0,8.5
1972-11-13 12:00:00,39.4,12.9,10.0
1972-11-14 12:00:00,1.3,9.7,5.1
1972-11-15 12:00:00,0.0,13.7,6.9
1972-11-16 12:00:00,1.1,12.4,10.2
1972-11-17 12:00:00,0.0,14.4,3.0
1972-11-18 12:00:00,0.0,17.9,3.5
1972-11-19 12:00:00,0.0,18.6,5.6
1972-11-20 12:00:00,27.9,13.9,8.4
1972-11-21 12:00:00,11.9,13.2,10.0
1972-11-22 12:00:00,8.7,11.6,3.5
1972-11-23 12:00:00,2.8,11.1,4.9
1972-11-24 12:00:00,1.2,12.3,1.1
1972-11-25 12:00:00,14.4,9.0,6.8
1972-11-26 12:00:00,13.3,10.3,5.4
1972-11-27 12:00:00,3.6,12.9,6.7
1972-11-28 12:00:00,0.0,13.0,9.0
1972-11-29 12:00:00,0.0,18.8,9.5
1972-11-30 12:00:00,0.0,17.1,7.0
1972-12-01 12:00:00,0.0,14.7,7.0
1972-12-02 12:00:00,0.0,19.9,4.6
1972-12-03 12:00:00,4.5,15.9,9.9
1972-12-04 12:00:00,0.0,13.1,6.6
1972-12-05 12:00:00,0.0,15.7,4.1
1972-12-06 12:00:00,0.0,17.0,5.9
1972-12-07 12:00:00,0.0,18.1,11.1
1972-12-08 12:00:00,6.0,12.2,7.7
1972-12-09 12:00:00,3.0,16.6,3.8
1972-12-10 12:00:00,2.8,10.5,7.3
1972-12-11 12:00:00,17.2,15.1,7.4
1972-12-12 12:00:00,24.3,12.2,6.5
1972-12-13 12:00:00,1.7,11.2,2.8
1972-12-14 12:00:00,0.0,13.4,3.4
1972-12-15 12:00:00,10.8,12.8,7.8
1972-12-16 12:00:00,0.0,17.1,7.6
1972-12-17 12:00:00,6.0,12.6,6.4
1972-12-18 12:00:00,27.1,11.6,8.2
1972-12-19 12:00:00,0.0,15.3,6.1
1972-12-20 12:00:00,0.0,18.4,5.0
1972-12-21 12:00:00,0.0,18.4,6.7
1972-12-22 12:00:00,0.0,18.5,10.5
1972-12-23 12:00:00,21.9,11.2,7.7
1972-12-24 12:00:00,81.3,10.8,6.4
1972-12-25 12:00:00,39.8,17.7,4.8
1972-12-26 12:00:00,0.0,9.5,3.7
1972-12-27 12:00:00,0.0,15.4,3.7
1972-12-28 12:00:00,13.2,10.0,5.9
1972-12-29 12:00:00,6.2,13.8,10.2
1972-12-30 12:00:00,51.6,13.0,8.4
1972-12-31 12:00:00,5.8,13.4,9.6
1973-01-01 12:00:00,17.6,13.1,6.3
1973-01-02 12:00:00,1.5,15.8,7.8
1973-01-03 12:00:00,1.0,17.6,9.4
1973-01-04 12:00:00,35.5,16.0,11.8
1973-01-05 12:00:00,0.0,17.3,9.8
1973-01-06 12:00:00,0.0,18.8,8.1
1973-01-07 12:00:00,5.2,10.8,8.3
1973-01-08 12:00:00,0.0,16.6,7.2
1973-01-09 12:00:00,0.0,17.1,7.2
1973-01-10 12:00:00,27.0,18.0,8.5
1973-01-11 12:00:00,0.0,17.3,7.4
1973-01-12 12:00:00,0.0,19.5,5.0
1973-01-13 12:00:00,0.0,22.5,10.5
1973-01-14 12:00:00,3.5,19.7,11.2
1973-01-15 12:00:00,11.9,14.6,10.6
1973-01-16 12:00:00,0.0,17.2,10.5
1973-01-17 12:00:00,0.0,16.2,9.6
1973-01-18 12:00:00,0.0,21.9,11.0
1973-01-19 12:00:00,0.0,24.0,8.8
1973-01-20 12:00:00,0.0,20.7,11.7
1973-01-21 12:00:00,10.2,18.0,13.0
1973-01-22 12:00:00,48.9,16.2,14.4
1973-01-23 12:00:00,1.1,11.4,7.1
1973-01-24 12:00:00,8.1,17.1,4.6
1973-01-25 12:00:00,36.9,11.6,8.5
1973-01-26 12:00:00,2.1,20.6,9.5
1973-01-27 12:00:00,0.0,13.5,9.3
1973-01-28 12:00:00,0.0,13.0,8.6
1973-01-29 12:00:00,0.0,19.6,5.0
1973-01-30 12:00:00,0.0,14.5,7.8
1973-01-31 12:00:00,76.9,15.4,9.1
1973-02-01 12:00:00,3.4,19.0,14.1
1973-02-02 12:00:00,20.7,19.1,4.5
1973-02-03 12:00:00,168.7,15.6,12.0
1973-02-04 12:00:00,50.3,19.7,13.2
1973-02-05 12:00:00,34.8,18.8,17.0
1973-02-06 12:00:00,26.5,18.6,13.6
1973-02-07 12:00:00,26.3,15.7,19.2
1973-02-08 12:00:00,3.2,13.6,8.1
1973-02-09 12:00:00,4.3,14.5,9.6
1973-02-10 12:00:00,27.1,9.8,3.3
1973-02-11 12:00:00,0.0,14.2,4.6
1973-02-12 12:00:00,0.0,15.1,4.6
1973-02-13 12:00:00,0.0,17.9,4.8
1973-02-14 12:00:00,0.0,20.2,8.4
1973-02-15 12:00:00,0.0,14.3,7.9
1973-02-16 12:00:00,0.0,18.6,7.8
1973-02-17 12:00:00,0.0,18.8,10.2
1973-02-18 12:00:00,0.0,24.8,11.4
1973-02-19 12:00:00,0.0,19.2,12.1
1973-02-20 12:00:00,2.6,16.1,13.6
1973-02-21 12:00:00,0.0,19.1,10.7
1973-02-22 12:00:00,0.0,21.1,10.6
1973-02-23 12:00:00,0.0,22.5,9.2
1973-02-24 12:00:00,0.0,20.5,10.6
1973-02-25 12:00:00,0.0,19.3,9.1
1973-02-26 12:00:00,0.0,23.3,14.5
1973-02-27 12:00:00,0.0,20.2,12.4
1973-02-28 12:00:00,0.0,18.4,11.6
1973-03-01 12:00:00,0.0,22.0,12.8
1973-03-02 12:00:00,16.6,21.7,14.5
1973-03-03 12:00:00,1.1,18.6,13.8
1973-03-04 12:00:00,0.0,20.2,10.3
1973-03-05 12:00:00,29.2,15.2,12.0
1973-03-06 12:00:00,0.0,12.2,5.7
1973-03-07 12:00:00,0.0,12.5,3.5
1973-03-08 12:00:00,21.9,15.1,7.2
1973-03-09 12:00:00,0.0,15.5,7.8
1973-03-10 12:00:00,0.0,14.6,6.9
1973-03-11 12:00:00,0.0,14.3,8.5
1973-03-12 12:00:00,0.0,13.8,9.3
1973-03-13 12:00:00,0.0,12.8,9.0
1973-03-14 12:00:00,0.0,19.3,10.8
1973-03-15 12:00:00,82.7,15.2,10.5
1973-03-16 12:00:00,5.0,10.6,10.6
1973-03-17 12:00:00,0.0,16.0,8.0
1973-03-18 12:00:00,0.0,17.6,6.7
1973-03-19 12:00:00,50.8,14.9,10.3
1973-03-20 12:00:00,0.0,14.8,11.8
1973-03-21 12:00:00,5.3,12.7,8.2
1973-03-22 12:00:00,32.3,14.5,8.7
1973-03-23 12:00:00,6.6,11.0,7.8
1973-03-24 12:00:00,0.0,13.9,4.3
1973-03-25 12:00:00,0.0,17.2,6.1
1973-03-26 12:00:00,0.0,13.7,6.5
1973-03-27 12:00:00,0.0,14.9,5.7
1973-03-28 12:00:00,0.0,16.5,7.2
1973-03-29 12:00:00,40.2,15.9,10.7
1973-03-30 12:00:00,0.0,17.6,6.6
1973-03-31 12:00:00,61.4,17.9,6.3
1973-04-01 12:00:00,0.0,10.7,5.4
1973-04-02 12:00:00,0.0,13.1,3.7
1973-04-03 12:00:00,0.0,13.8,5.4
1973-04-04 12:00:00,0.0,16.2,6.8
1973-04-05 12:00:00,0.0,15.9,11.2
1973-04-06 12:00:00,0.0,16.8,8.0
1973-04-07 12:00:00,26.2,14.7,11.0
1973-04-08 12:00:00,0.0,12.2,10.8
1973-04-09 12:00:00,1.9,11.8,3.0
1973-04-10 12:00:00,1.2,10.7,6.2
1973-04-11 12:00:00,0.0,13.0,3.8
1973-04-12 12:00:00,5.3,14.2,5.5
1973-04-13 12:00:00,0.0,11.1,5.6
1973-04-14 12:00:00,97.8,11.6,1.5
1973-04-15 12:00:00,87.8,11.6,2.5
1973-04-16 12:00:00,3.3,6.9,6.3
1973-04-17 12:00:00,0.0,9.1,2.4
1973-04-18 12:00:00,0.0,11.4,5.2
1973-04-19 12:00:00,23.4,9.0,1.7
1973-04-20 12:00:00,34.3,10.5,2.7
1973-04-21 12:00:00,21.9,9.5,8.0
1973-04-22 12:00:00,84.8,10.3,4.7
1973-04-23 12:00:00,41.2,4.7,3.3
1973-04-24 12:00:00,5.6,8.6,2.5
1973-04-25 12:00:00,54.2,11.8,4.1
1973-04-26 12:00:00,55.6,12.2,8.0
1973-04-27 12:00:00,10.3,11.0,10.2
1973-04-28 12:00:00,76.0,13.2,9.8
1973-04-29 12:00:00,5.4,13.6,10.6
1973-04-30 12:00:00,0.0,12.1,10.8
1973-05-01 12:00:00,0.0,12.9,10.3
1973-05-02 12:00:00,0.0,11.3,7.4
1973-05-03 12:00:00,7.8,12.3,7.4
1973-05-04 12:00:00,53.8,12.0,9.1
1973-05-05 12:00:00,47.3,10.2,10.4
1973-05-06 12:00:00,1.9,12.7,9.5
1973-05-07 12:00:00,12.3,11.4,7.6
1973-05-08 12:00:00,51.7,9.9,8.6
1973-05-09 12:00:00,10.5,5.4,4.4
1973-05-10 12:00:00,7.3,6.7,0.9
1973-05-11 12:00:00,18.9,5.8,2.8
1973-05-12 12:00:00,0.0,8.3,3.6
1973-05-13 12:00:00,0.0,8.4,3.9
1973-05-14 12:00:00,0.0,7.0,7.2
1973-05-15 12:00:00,26.7,8.0,2.7
1973-05-16 12:00:00,5.4,6.5,4.8
1973-05-17 12:00:00,31.2,6.2,4.8
1973-05-18 12:00:00,33.9,6.8,2.6
1973-05-19 12:00:00,19.6,3.3,3.3
1973-05-20 12:00:00,4.7,4.4,2.5
1973-05-21 12:00:00,3.3,3.9,-1.2
1973-05-22 12:00:00,7.8,5.7,-0.7
1973-05-23 12:00:00,60.2,11.9,2.3
1973-05-24 12:00:00,30.1,7.5,6.2
1973-05-25 12:00:00,0.0,6.4,3.8
1973-05-26 12:00:00,30.1,6.9,2.0
1973-05-27 12:00:00,37.1,5.1,4.4
1973-05-28 12:00:00,67.7,7.5,2.7
1973-05-29 12:00:00,11.4,5.0,2.2
1973-05-30 12:00:00,6.3,5.2,4.7
1973-05-31 12:00:00,11.3,7.2,4.7
1973-06-01 12:00:00,4.6,7.9,5.8
1973-06-02 12:00:00,0.0,9.6,8.1
1973-06-03 12:00:00,38.1,10.5,6.9
1973-06-04 12:00:00,0.0,9.6,8.7
1973-06-05 12:00:00,0.0,4.6,3.5
1973-06-06 12:00:00,23.3,4.4,0.6
1973-06-07 12:00:00,40.6,4.0,2.4
1973-06-08 12:00:00,53.7,4.2,2.6
1973-06-09 12:00:00,6.7,5.1,1.0
1973-06-10 12:00:00,1.3,4.1,0.5
1973-06-11 12:00:00,0.0,4.7,1.7
1973-06-12 12:00:00,0.0,4.3,0.8
1973-06-13 12:00:00,0.0,4.8,2.6
1973-06-14 12:00:00,0.0,1.5,0.1
1973-06-15 12:00:00,0.0,1.0,-1.4
1973-06-16 12:00:00,0.0,4.5,-0.3
1973-06-17 12:00:00,0.0,4.3,2.1
1973-06-18 12:00:00,0.0,4.2,-0.2
1973-06-19 12:00:00,0.0,0.0,-2.0
1973-06-20 12:00:00,0.0,0.3,-2.2
1973-06-21 12:00:00,0.0,3.4,-1.4
1973-06-22 12:00:00,4.3,10.1,-0.5
1973-06-23 12:00:00,20.8,9.9,4.5
1973-06-24 12:00:00,25.5,12.6,9.8
1973-06-25 12:00:00,61.0,7.3,8.1
1973-06-26 12:00:00,3.2,6.5,4.6
1973-06-27 12:00:00,0.0,5.5,0.7
1973-06-28 12:00:00,4.3,5.4,0.9
1973-06-29 12:00:00,0.0,4.3,1.1
1973-06-30 12:00:00,0.0,5.1,0.1
1973-07-01 12:00:00,0.0,1.8,0.0
1973-07-02 12:00:00,0.0,1.6,-1.4
1973-07-03 12:00:00,2.0,5.8,-1.1
1973-07-04 12:00:00,0.0,7.0,1.2
1973-07-05 12:00:00,4.4,7.5,5.9
1973-07-06 12:00:00,0.0,9.3,6.3
1973-07-07 12:00:00,5.3,7.4,0.0
1973-07-08 12:00:00,0.0,5.8,-1.4
1973-07-09 12:00:00,0.0,5.1,0.6
1973-07-10 12:00:00,0.0,6.9,0.5
